root	Akkadian:	Amharic:	Amorite:	Arabic:	Aramaic:	Argobba:	Biblical Aramaic:	Canaanite:	East Ethiopic:	Eblaitic:	Epigraphic South Arabian:	Gafat:	Geʕez (Ethiopian):	Gurage:	Harari:	Harsusi:	Hebrew:	Jibbali:	Judaic Aramaic:	Mandaic Aramaic:	Mehri:	Modern Arabic:	Modern Aramaic:	Phoenician:	Soqotri:	Syrian Aramaic:	Tigrai (Tigriñña):	Tigre:	Ugaritic:
ṣ̂arr	ṣerru	ṣär	-	ḍrr	-	-	-	-	-	-	-	-	ḍar	-	-	źer	ṣar	ź_err	-	-	źǝr	ḍar	-	ṣrt	ḍérr	-	ṣär	ṣarärä	ṣrt
dawid	dādu	-	-	dād	-	-	-	-	-	-	-	-	dud	-	däd	ḥedēd	dōd	did	dōdā	dada	ḥǝdīd	-	-	-	dédo	dād	-	-	dd
dad	-	-	-	dadah	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dawr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	dōr	-	-	-	-	-	-	dr	-	dār	-	-	dr
gāriy	-	-	-	ǯāriyat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ʕagūz	-	-	-	ʕagūz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ʕaŝVr	-	-	-	ʕašīr	-	-	-	-	-	-	-	-	-	-	-	-	-	ʕáśǝr	-	-	ʔāŝǝr	-	-	-	ʕśr	-	-	-	-
ʕamm	-	-	-	ʕamm	-	-	-	-	-	-	-	-	-	-	-	ʔom	ʕam	-	-	-	ʔom	-	-	-	-	-	-	-	-
humām	-	-	-	humām	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bāḥūr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	bāḥūr	-	-	-	-	-	-	-	-	-	-	-	-
kall	kallatu	-	-	kll	-	-	-	-	-	-	-	-	-	-	-	kelōnet	kallā	kólún	kaltā	kalta	kǝlōn	-	-	-	kelán	kallǝt	-	-	klt
kumir	kumru	-	-	-	kmr	-	-	-	-	-	-	-	-	-	-	-	komär	-	-	-	-	-	-	kmr	-	-	-	-	-
kannat	kinattu	-	-	kannat	-	-	kǝnāt	-	-	-	-	-	-	-	-	-	kǝnāt	-	knt	-	-	-	-	-	-	kǝnāt	-	kǝnto	-
ḳull	-	-	-	ḳullat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḳaʔid	-	-	-	ḳaʔid	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
malik	malku	-	-	malk	-	-	-	-	-	-	-	-	-	-	-	-	mäläk	-	-	-	-	-	-	-	-	-	-	-	-
marʔ	māru	-	-	marʔ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ḥǝmrō	-	-	-	-	mārā	-	-	-
marʕ	-	-	-	marʕ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
marʔat	-	-	-	ʔimraʔat	-	-	-	-	-	-	mrʔt	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
mi	mutu	-	-	-	-	-	-	-	-	-	-	-	mǝt	-	-	-	pl	-	-	-	-	-	-	-	-	-	-	mit	mt
napr	-	-	-	nafr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gyŝ	-	gʷäsa	-	niǯāš	-	-	-	-	-	-	ngŝ	-	nǝguŝ	-	gīsti	-	ngŝ	s̃ǝgēŝ	-	-	-	-	-	-	-	-	-	nägsä	-
nazīl	-	-	-	nazīl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
rabīb	-	-	-	rabīb	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
rīʕ	rūʔu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rēaʕ	-	-	-	-	-	-	-	-	-	-	-	-
ramk	ramk	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
šafih	-	-	-	safīh	-	-	-	-	-	-	sfh	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
šitt	-	-	-	sitt	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	št
ṭVb	-	-	-	-	-	-	-	-	-	-	-	-	-	ṭǝb	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ṭap	-	-	-	-	-	-	-	-	-	-	-	-	taf	-	-	-	ṭapp	-	-	-	-	-	-	-	-	-	-	-	-
zahVr	-	-	-	zahr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
zawVg	-	-	-	zwǯ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ʕad_Vr	-	-	-	ʕad_rāʔ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gir	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	gēr	-	-	-	-	-	-	-	-	-	-	-	-
yamīn	imnu	yäman	-	yamīn	-	-	-	-	-	-	-	-	yammān	-	-	-	yāmīn	-	yammīnā	iamin	-	-	-	-	-	yammīnā	-	-	ymn
pas	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	pist	-	-	-	-	-	-	-	-	-	-
w	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	wpt_
ba	būdu	-	-	badan	-	-	-	-	-	bùtum	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
pat_̣t_̣	-	-	-	faẓẓ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
pVʔVd	-	-	-	fuʔād	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	pʔid
būz	-	-	-	būz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
buht_	bâšu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	būšā	-	-	-	-	-	-	-	-	behtōt	-	-	bt_t
bkʔ	-	-	-	bkʔ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bahaḳ	-	-	-	bahaḳ	-	-	-	-	-	-	-	-	-	-	-	bihōḳ	bōhaḳ	bhɔḳ	bōhăḳā	baḳiata	bǝhyōḳ	-	-	-	-	behḳītā	-	-	-
būḥ	-	-	-	būḥ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bann	-	-	-	bann	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
nuball	nuballu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ʕ	-	ǝmbiya	-	ɣabab	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ʕubbā	ʕumba	-	-	-	-	-	ʕūbbā	-	-	-
balVʕ	-	-	-	bulʕum	-	-	-	-	-	-	-	-	-	-	-	-	-	tɔbźɔʕɔ́t	-	balʕuma	tǝbǝlōt	-	-	-	bálḥam	bālaʕtā	-	-	-
nVpVš	napāšu	näffäsä	-	nfs	-	-	-	-	-	napuuštuum	-	-	nafsa	-	-	nefesét	npš	ǝnfés	nǝpaš	-	-	-	-	npš	néfoš	npš	näfäsä	näfsä	npš
pawVp	-	-	-	fawf	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
pay	pû	ʔaf	-	fumun	-	-	pūm	-	-	-	-	-	-	-	af	-	pǟ	-	pūmā	puma	-	-	-	py	-	pūmā	-	ʔaf	p
pan	pānu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	pānīm	fɛ́nɛ	-	-	-	-	-	pn	fáne	-	-	-	pn;
tVpVl	-	-	-	tfl	-	-	-	-	-	-	-	-	-	-	-	tefōl	-	tfɔl	-	-	tǝfūl	-	-	-	-	-	-	-	-
tikk	tikk	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ʕVṭiš	-	anäṭṭäsä	-	ʕṭs	-	-	-	-	-	-	-	-	ʕts	-	-	-	ʕăṭīšā	ʕɔṭɔš	ʕăṭaš	-	ʔáwṭǝh	-	-	-	ʕéṭoš	ʕăṭāšā	-	-	-
ṭVpVp	-	-	-	ṭff	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ṭef	-	-	-	-
ṭVt_Vʔ	-	-	-	ṭt_ʔ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dVbVr	-	žǝbär	-	dubr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	dibra	-	-	-	-	-	-	-	-	-
dat_t_	-	-	-	dat_t_at	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ʕalaḳ	-	-	-	ʕalaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
watīn	-	-	-	watīn	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dḥs	-	-	-	dḥs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	dôḥes	-	-	däḥsa	-
dam	damu	däm	-	dam	-	-	-	-	-	-	-	dämʷä	dam	däm	däm	-	dām	dihm	dǝmā	dma	dǝm	-	-	-	dīm	dǝmā	däm	däm	dm
dVm	-	-	-	-	dmm	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ʔadam	adam	addäma	-	ʔudmat	-	-	-	-	-	-	-	-	ʔaddāmāwi	-	dāma	-	ʔādam	-	-	-	-	-	-	-	-	-	-	-	ʔadm
ʔiš	-	-	-	ʔisb	-	-	-	-	-	-	-	-	-	-	-	-	-	mɔ́sɔ̄t	-	-	mǝnsōb	-	-	-	mǝ́nsub	-	-	-	-
kss	-	-	-	kss	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
šVmāḫ	šammāh_u	-	-	-	-	-	-	-	-	-	-	-	sǝmāḥ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
li	lipû	-	-	lafiʔat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
zapp	zappu	-	-	zabb	-	-	-	-	-	-	-	-	-	-	-	-	-	-	zaypā	zapa	-	-	-	-	-	zappǝtā	-	-	-
kuʕVb	-	-	-	kuʕb	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ŝabir	šuburru	-	-	šabr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	šǝbǝr	-
ŝayṗ	šēpu	šǝbšäba	-	šabāt	-	-	-	-	-	-	-	-	-	-	-	-	-	ŝɛf	-	-	ŝaf	-	-	-	ŝab	šēpā	-	-	-
ŝanpat	šaptu	-	-	šafat	-	-	-	-	-	sabatum	-	-	-	-	-	-	ŝāpā	-	siptā	sipta	-	-	-	-	-	septā	-	šanǝf	špt
pakk	-	-	-	fakk	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	pakkā	-	fǝkk	-
d_iḳan	ziḳnu	-	-	d_aḳan	-	-	-	-	-	-	-	-	-	-	-	-	zāḳān	-	dǝḳan	diḳna	-	-	-	zḳn	díḳehon	daḳnā	-	-	dḳn
ḫVrʔ	arāru	ar	-	ḫarr	-	-	-	-	-	-	-	-	-	-	-	-	ḥărāʔīm	-	ḥārē	hra	-	-	-	-	ḥaryómoh	ḥerāyā	-	ḥarǝʕ	h_rʔu
nVŝaʕ	-	-	-	nšʕ	-	-	-	-	-	-	-	-	-	-	-	šenśa	-	niśa	-	-	šenśe	-	-	-	-	-	-	-	-
naḫīr	naḫīru	-	-	nuḫrat	-	-	-	-	-	-	-	-	-	-	-	nh_erīr	nǝḥīrayim	naḫrér	nǝḥīrā	nhira	nǝḫrīr	-	-	-	náḥrīr	nǝḥīrē	-	-	-
muḫḫ	muh_h_u	-	-	muh_h_	-	-	-	-	-	muh_uum	-	-	-	-	-	-	mōăḥ	-	mōăḥ	muha	-	-	-	-	-	muḥḥā	-	-	mh_
hām	-	-	-	hāmat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
lVɣ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	mǝtallǝʕōt	-	lōʕā	-	-	-	-	-	-	lōʕā	-	-	-
ʔangīdVʔ	-	-	-	ǯ̌īd	-	-	-	-	-	-	-	-	ʔangǝdʔa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
wariy	-	-	-	wāriyat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gVrʕ	-	-	-	-	-	-	-	-	-	-	-	-	gʷǝrʕē	-	-	-	-	-	-	-	-	-	-	-	-	-	gʷärära	-	-
ga	gannu	-	-	ǧanān	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	gngn
ḥaŝw	h_ašû	-	-	ḥašan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḥawiy	-	-	-	ḥawiyat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ʕiṣVl	-	-	-	ʕiṣl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
garab	-	-	-	ǧurǧub	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	gärob	-
kʷalyat	kalītu	kulit	-	kulyat	-	-	-	-	-	-	-	kullalit	kʷǝlīt	-	-	kelīt	kilyā	kuźɛ́t	kulyā	kulaia	kǝlyīt	-	-	-	-	kūlītā	-	pl	klyt
dḳn	-	-	-	dḳn	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gu	-	-	-	waǧnat	-	-	-	-	-	-	-	-	-	-	-	wegnēt	-	ɛ́gǝnt	-	-	wǝgnēt	-	-	-	-	-	-	-	-
ḳVrb	ḳerbu	-	-	ḳurb	-	-	-	-	-	-	-	-	-	-	-	-	ḳäräb	-	-	-	-	-	-	-	-	-	-	-	ḳrb
maʕid	-	-	-	maʕidat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gawp	-	-	-	ǧawf	-	-	-	-	-	-	-	-	-	-	-	-	gūpā	mgɔffɔ́t	gūpā	-	gawf	-	-	-	-	-	-	gof	-
ṭāḥin	-	-	-	ṭāḥinat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ṣin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ṣēn	-	-	-	-	-	-	-	-	-	-	-	-
ṭīṭ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ṭīṭ	-	-	-	-	-	-	-	-	-	-	-	-
šinn	šinnu	-	-	sinn	-	sǝn	šinnayin	-	-	sinuum	-	sǝnä	sǝnn	-	sǝn	-	šēn	šnin	šinnā	šina	-	-	-	-	-	šennā	sǝnni	-	šn
girīʔ	-	-	-	ǯirīʔat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḫadd	-	-	-	ḫadd	-	-	-	-	-	-	-	-	-	-	-	ḥadd	-	ḫad	-	-	-	-	-	-	-	-	-	-	-
ḳḥḥ	-	-	-	ḳḥḥ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ganaḥ	-	-	-	ǯ̌anāḥ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ganḥ	-	-	-	-
zVnaʔ	-	-	-	znʔ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
šāḳ	sīḳu	-	-	sāḳ	-	-	šāḳṓhī	-	-	-	-	-	-	-	-	-	šōḳ	-	šāḳā	šaḳa	-	-	-	-	-	šāḳā	-	sǝḳuḳa	šḳ
ḥāpir	-	-	-	ḥāfir	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḫu	-	-	-	h_uff	-	-	-	-	-	-	-	-	-	-	-	h_ef	-	h_af	-	-	h_af	-	-	-	-	-	-	-	-
rʕp	-	-	-	rʕf	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ʔaḳl	-	-	-	wḳl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ʔaḳlān	-	-	-
paḫid_	-	-	-	fah_id_	-	-	-	-	-	-	-	-	-	-	-	ǝfḫād_	paḥad	fah_d_	paḥdīn	-	ǝfh_ād	-	-	-	-	puḥdā	-	-	-
d_Vbbān	-	-	-	d_ubābat	-	-	-	-	-	-	-	-	zabān	-	-	-	-	-	-	-	-	-	-	-	-	-	zǝban	zǝban	-
d_ipr	-	-	-	d_ifray	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
mVlag	-	mäläggägä	-	mlg	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ʕayn	īnu	ayn	-	ʕayn	-	-	suff	-	-	anaa	-	inä	ʕayn	-	-	-	ʕayin	ʕíhn	ʕayin	aina	ʔāyn	-	-	ʕn	ʕain	ʕaynā	-	ʕǝn	ʕn
ḥangūr	-	-	-	ḥanǯarat	-	-	-	-	-	-	-	-	-	-	ḥangūr	-	-	-	-	-	-	-	-	-	-	-	-	-	-
lVḳlVḳ	-	-	-	lḳḳ	-	-	-	-	-	-	-	-	-	-	-	-	lāḳaḳ	-	-	-	-	-	-	-	-	-	-	läḳläḳa	-
rigl	-	-	-	riǧl	-	-	rǝgal	-	-	-	-	-	-	-	-	-	rägäl	-	riglā	-	-	-	-	-	-	reglā	-	-	-
gʷVlaḥ	-	-	-	glḥ	-	-	-	-	-	-	-	-	gʷalḥa	-	-	-	glḥ	-	-	-	-	-	-	-	-	-	-	-	-
di	-	-	-	difʔ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ṣ̂Vp	-	-	-	ḍfḍf	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
kVpp	-	-	-	ka	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
šVmaʕ	šemû	sämma	-	smʕ	-	sämma	-	-	-	-	smʕ	sämmä	smʕ	säma	sämaa	hōma	šmʕ	-	-	šma	hēma	-	-	-	hyemaʕ	šmʕ	sämʕe	šämʕa	šmʕ
rīŝ	-	-	-	rīš	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ʕārīṣ̂	-	-	-	ʕārīḍat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḳʷa	-	ḳoda	-	ḳadd	-	ḳoda	-	-	-	-	-	ḳodä	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ʔada	-	-	-	ʔada	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
nVḫVr	naḫāru	-	-	nḫr	-	-	-	-	-	-	-	-	nǝḫra	-	-	enḫerōr	-	naḫár	-	-	enḫēror	-	-	-	-	-	-	-	-
ḫVrr	-	-	-	ḫrr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ŝVḫir	-	-	-	šḫr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
tukʷān	-	tǝhʷan	-	kuttān	-	tuhan	-	-	-	-	-	-	tǝkʷān	-	tuxān	-	-	-	tǝkak	-	kettôn	-	-	-	-	-	tǝkʷan	tǝkan	-
dimm	dimītu	-	-	dimmat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dimān	dimānu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḳaml	-	ḳǝmal	-	ḳaml	-	-	-	-	-	gamatum	-	-	ḳʷǝmāl	-	-	-	-	-	ḳalmǝtā	-	-	-	-	-	-	ḳalmā	ḳumal	-	-
dūd	dūd	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
šVpp	-	-	-	siff	-	-	-	-	-	-	-	-	-	-	-	-	šǝpīpōn	-	šǝpīpōnā	-	-	-	-	-	-	šappāpā	wäsfat	sǝf	-
ṣ̂abb	-	-	-	ḍabb	-	-	-	-	-	-	-	-	-	-	-	ẑebbēt	ṣāb	ẑ_ɔb	ṣabbā	-	ẑǝbbīt	-	-	-	-	ʕabbā	-	-	-
šibšib	šibbu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	šebšebēt	-	-	-	-	šǝbšīb	-	-	-	-	-	-	-	-
ṣipaʕ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ṣepaʕ	-	-	-	-	-	-	-	-	-	-	-	-
ṣill	-	-	-	ṣill	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ʔaym	-	-	-	ʔaym	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḥisl	-	-	-	ḥisl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
šūš	-	-	-	sūs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḫaṣ̂	-	-	-	ḫaḍaḍ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
naḥaš	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	nāḥāš	-	-	-	-	-	-	-	-	-	-	-	nḥš
tVnnVn	-	-	-	tinnīn	-	-	-	-	-	-	-	-	-	-	-	-	tannīn	-	tannīnā	tanina	-	-	-	-	-	tannīnā	-	-	tnn
ḳVr	-	-	-	ḳirr	-	-	-	-	-	-	-	-	ḳāḳer	-	-	-	-	-	-	-	-	-	-	-	-	yaḳrūrā	-	-	-
hāmm	-	-	-	hāmmat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
guʕal	-	-	-	guʕal	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gaŝl	-	-	-	gašlat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
rimmat	rimmatum	-	-	rimmat	-	-	-	-	-	-	-	-	-	-	-	-	rimmā	-	rymh	rima	-	-	-	-	-	remtā	-	-	-
daba	-	-	-	daban	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ṭāmir	-	-	-	ṭāmir	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
t_̣Vl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ṣǝlāṣal	-	-	-	-	-	-	-	-	-	-	-	-
ɣawɣaʔ	-	-	-	ɣawɣāʔ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
