root	ags.	ahd.	ai.	air.	aisl.	aksl.	alb.	anord.	arm.	as.	av.	cymr.	gall.	got.	gr.	hitt.	lat.	lett.	lit.	mhd.	mir.	mnd.	norw.	russ.	slav.	umbr.	vgl.
aiĝ	-	-	-	-	-	-	-	-	-	-	izaēna	-	-	-	αἴξ	-	-	-	-	-	-	-	-	-	-	-	-
aig	-	-	-	-	ekki	jędza	këék	eikenn	-	-	-	-	-	-	-	-	aeger	-	ìngis	-	-	-	-	bába	-	-	-
aig	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ἄιγῑρος	-	aesculus	-	-	-	-	-	-	-	-	-	-
aig	-	-	ējati	-	-	igrъ	-	-	-	-	-	-	-	-	hierher	-	-	-	bei	-	-	-	-	-	-	-	-
aigʷh	-	-	-	-	-	-	-	-	-	-	-	-	-	unaiwisks	-	-	-	-	-	-	-	-	-	-	-	-	weiter
āiĝh	-	-	-	-	-	-	-	-	-	-	izyati	-	-	-	ἀ̄χήν	-	-	-	-	-	-	-	-	-	-	-	-
ā̆ik̂	-	-	-	-	-	-	-	-	-	-	-	-	-	-	αἶκλοι	-	-	-	-	-	-	-	-	-	-	-	-
aik	-	-	-	-	-	-	-	-	-	-	-	-	-	-	αἰκάζει	-	-	-	-	-	-	-	-	-	-	-	-
ai̯os	-	-	áyas	-	-	-	-	-	-	-	-	-	-	aiz	-	-	aes	-	-	-	-	-	-	-	-	-	-
airā	-	-	ērakā	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ais	-	eiscōn	ḗšati	-	-	-	-	-	aic̣	-	-	-	-	-	-	-	aeruscāre	-	íeškau	-	-	-	-	-	-	eiscurent	-
ais	-	ērēn	īḍḗ	-	-	-	-	-	-	-	-	-	-	aistan	-	-	-	-	-	-	-	-	-	-	-	-	-
aisk	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
aitro	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	aitrùs	-	-	-	-	-	-	-	-
aiu̯	nā	-	ā́yu	-	angǣr	-	eshë	-	-	-	āyū	-	-	ajukdūþs	-	-	-	-	-	-	-	-	-	-	-	-	-
ak̂	-	-	aśnāti	-	-	-	-	-	-	-	kahrkāsa	-	-	-	ἄκυλος	-	-	-	-	-	-	-	-	-	-	-	-
akkā	-	-	akkā	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	app
ak̂ru	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
akʷ	-	-	ákam	-	-	-	-	-	-	-	-	-	-	-	omen	-	-	-	-	-	-	-	-	-	-	-	-
akʷā	-	-	kām	-	-	-	-	-	-	-	-	aig	-	-	-	-	aqua	-	-	-	-	-	-	-	-	-	-
al	elra	-	parāri	allslige	-	-	-	-	-	-	airyō	-	alios	aljis	ἄλλος	-	alius	-	-	-	-	-	-	-	-	-	air
al	-	-	r̥dhnóti	altram	elskr	-	-	aldr	-	-	-	allt	-	alds	ἀλθαίνω	-	almus	-	-	-	-	-	-	-	-	-	-
ā̆l	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ἄλη	-	-	-	-	-	-	-	-	-	-	-	-
al	ǣlan	-	alātam	-	-	-	-	-	-	-	-	-	-	-	ἀλάβη	-	alacer	-	-	-	-	-	-	-	-	-	-
al	-	-	áṇu	-	-	-	-	-	-	-	-	-	-	-	-	-	alica	-	-	-	-	-	-	-	-	-	-
alā	-	-	alalābhavant	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	aluoti	-	-	-	-	-	-	-	-
albhi	-	-	-	-	-	-	elp	-	-	-	-	-	-	-	ἄλφι	-	-	-	-	-	-	-	-	-	-	-	-
albho	-	albiz	-	-	-	ebedь	-	alfr	-	-	-	elfydd	alausa	-	ἐλεφιτίς	-	albula	-	-	-	-	-	-	ebedá	-	-	-
aldh	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	dial	-	-	-	-
aleq	ealgian	-	rákṣ̌ati	-	-	-	-	-	-	-	-	-	-	alhs	-	-	-	-	-	-	-	-	-	-	-	-	-
algh	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	algor	-	-	-	-	-	-	-	-	-	-
algʷh	-	-	árhati	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alp	-	-	álpa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	alpstù	-	-	-	-	-	-	-	-
ālu	-	-	ālúḥ	-	-	-	-	-	-	-	-	-	-	-	-	-	ālum	-	-	-	-	-	-	-	-	-	-
alu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ἀλύδοιμον	-	alūta	-	-	-	-	-	-	-	-	-	-
ambhi	-	-	-	-	-	-	mbi	-	amboɫj	-	-	-	-	-	-	-	amb	-	-	-	-	-	-	-	-	-	-
am	-	-	ámatram	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
āmer	-	-	-	-	-	-	-	-	aur	-	-	-	-	-	horn	-	-	-	bei	-	-	-	-	-	-	-	-
ames	-	amusla	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
amma	-	-	-	-	amma	-	amë	-	-	-	-	-	-	-	ἀμμάς	-	-	-	-	-	-	-	-	-	-	-	-
an	-	ana	-	-	-	-	-	-	han	-	-	-	-	-	-	-	anna	-	anýta	enel	-	-	-	-	-	-	gr
an	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ἄν	-	an	-	angu	-	-	-	-	-	-	-	-
anǝ	-	-	ániti	-	-	-	-	-	-	-	ā̊ntya	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	risk
an	-	-	nā	-	-	na	-	-	am	-	ana	-	-	nēƕ	-	-	-	-	anóte	-	-	-	-	-	-	an	-
andh	-	-	ándhaḥ	-	-	-	ënde	-	and	-	-	-	-	-	ἄνθος	-	-	-	-	-	-	-	-	-	-	-	-
andho	-	-	andhá	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
anǝt	-	-	ātíḥ	-	-	-	-	-	-	-	-	-	-	-	νη̃σσα	-	anas	-	-	-	-	-	-	-	-	-	-
anǝtā	-	-	ātā	-	-	-	-	-	-	-	-	-	-	-	-	-	antae	-	-	-	-	-	-	-	-	-	-
anĝh	-	-	-	-	-	vęžǫ	-	-	-	-	ązaŋhē	-	-	-	ἄγχω	-	-	-	-	-	-	-	-	-	-	-	-
anĝhen	-	-	-	-	-	-	-	-	anjn	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
angʷhi	-	-	-	-	-	-	-	-	-	-	-	euod	-	-	ὄφις	-	illa	-	-	-	escung	-	-	-	-	-	-
ank	-	-	-	écen	-	-	-	-	-	-	-	-	-	-	ἀνάγκη	-	-	-	-	-	-	-	-	-	-	-	-
ank	-	ancha	añcati	ēcath	eng	ǫkotь	-	ōll	-	-	aka	-	-	halsagga	ἄγγος	-	angulus	-	-	-	aigen	-	-	-	jęčьmy	-	-
āno	-	-	-	-	-	-	-	-	anur	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ans	-	an	-	-	-	-	-	-	-	-	-	-	-	ansts	-	-	-	-	-	gund	-	-	-	-	-	-	-
ansā	-	-	-	-	ǣs	-	-	-	-	-	-	-	-	-	-	-	ānsa	-	-	-	ēisi	-	-	-	-	-	-
ansu	-	-	ásu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ants	-	-	ántaḥ	étan	-	-	-	-	-	-	-	-	-	-	-	ḫaanza	-	-	-	-	-	-	-	-	-	-	-
antrom	-	-	-	-	-	-	-	-	ayr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ap	-	-	āpnṓti	-	-	-	-	-	unim	-	apayeiti	-	-	-	ἅπτω	eipmi	apex	-	-	-	-	-	-	-	-	-	auch
ā̆p	-	-	ā̆p	-	-	vapa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ap	-	-	apvā́	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	opū́s	-	-	-	-	-	-	-	-
appa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	gr
apelo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ἀναπελάσας	-	-	-	-	-	-	-	-	-	-	-	-
āpero	ōfer	-	-	-	-	-	-	-	apn	-	-	-	-	-	ἤπειρος	-	-	-	-	-	-	-	-	-	-	-	-
apo	-	-	ápa	-	-	-	prapë	-	-	-	-	-	-	af	ἄψ	-	af	-	-	-	-	-	-	-	-	apehtre	-
apsā	-	aspa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ar	-	-	arpáyati	-	-	-	-	-	aṙnem	-	-	-	-	-	ἐρι	-	-	-	-	-	-	-	-	-	-	-	-
ar	-	-	-	-	-	-	-	-	aṙnum	-	ar	-	-	-	ἄρνυμαι	arnumi	-	-	-	-	-	-	-	-	-	-	-
ar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ἄρα	-	-	-	ir̃	-	-	-	-	-	-	-	-
ar	-	-	-	-	-	-	rrêm	-	-	-	-	-	-	-	ἀρνέομαι	-	-	-	-	-	-	-	-	-	-	-	-
arǝ	-	-	-	-	-	orjǫ	-	-	araur	-	-	-	-	arjan	ἀρόω	-	-	-	armenà	-	airem	-	-	-	ora	-	-
ardh	-	-	-	-	-	-	-	-	ardn	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ardi	-	-	ali	aird	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
areg	-	-	argalaḥ	-	-	-	-	-	-	racud	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
areĝ	-	-	árjunaḥ	-	-	-	-	-	-	-	-	-	-	-	ἄργυρος	-	-	-	-	-	-	-	-	-	-	-	auch
areq	-	rigil	-	-	-	-	-	-	-	-	-	-	-	-	ἀρκέω	-	stammt	-	rãktas	-	-	-	-	-	-	-	arcānus
arenko	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	arinca	-	-	-	-	-	-	-	-	-	-
ario?	-	-	ariyá	-	-	-	-	-	-	-	airyō	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
arqu	-	-	-	-	-	-	-	-	-	-	-	-	-	arƕazna	ἀρ	-	arcus	ẽrkškis	-	-	-	-	-	-	-	arc̨lataf	-
arōd	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ῥωδιός	-	-	-	-	-	-	-	-	-	-	-	-
arom	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ἄρον	-	harundō	-	-	-	-	-	-	-	-	-	hirundō
aru̯ā	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ὀρύᾱ	-	-	-	-	-	-	-	-	-	-	-	-
ā̆s	-	essa	ā́saḥ	-	-	-	-	-	-	-	-	-	-	-	-	-	āra	-	-	-	-	-	-	-	-	-	-
at	-	-	átati	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	sevacni	-
āter	-	-	-	-	-	-	-	-	airem	-	ātarš	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ati	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ἐτελίς	-	-	-	-	-	-	-	-	-	-	-	-
ati	-	-	áti	-	-	ot	-	-	-	-	-	-	-	sundrō	-	-	-	-	ata	-	athach	-	-	-	-	-	-
ā̆tos	-	-	attā	-	-	-	at	-	-	-	āɵwya	-	-	haimōþli	-	-	-	-	-	-	-	-	-	-	-	-	-
au	-	-	o	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
au	-	-	-	-	-	-	-	-	aganim	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
au	-	-	aváḥ	vielleicht	-	-	-	-	-	-	-	-	autagis	-	αὐ	-	au	-	-	-	-	-	-	-	-	-	-
au̯	-	-	ṓtum	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
au̯	-	-	vandate	-	-	-	-	-	-	-	-	-	-	-	hom	-	-	-	-	-	-	-	-	-	-	-	-
au̯	-	-	avitár	con	-	-	-	-	aviun	-	-	-	-	-	ᾱονες	-	aveō	-	-	-	-	-	-	-	-	-	got
au̯	-	-	āviṣṭyaḥ	-	-	avě	-	-	-	-	-	-	-	-	ἀί̄ω	-	audiō	-	-	-	-	-	-	-	-	-	-
au̯eg	-	-	ugrá	-	-	-	-	-	-	-	-	-	-	aukan	-	-	-	-	áugu	-	-	-	-	-	-	-	-
au̯ei	-	-	víḥ	-	-	-	-	-	-	-	āvayeiti	hwyad	-	-	-	-	avis	-	-	-	-	-	-	-	-	-	-
au̯es	-	-	uccháti	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
aug	-	-	-	-	-	-	agój	-	-	-	-	-	-	-	αὐγή	-	-	-	-	-	-	-	-	-	iugъ	-	-
augh	-	-	-	-	-	-	-	-	awj	-	-	-	-	-	δάφνη	-	-	-	-	-	-	-	-	-	-	-	-
au̯iĝ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	avēna	-	avižà	-	-	-	-	-	-	-	-
auqʷh	ofnet	-	ukháḥ	-	-	-	anë	-	-	-	-	-	-	usw	-	-	aulla	-	-	-	-	-	-	-	-	-	-
aulos	-	-	-	-	-	ulьjь	-	-	-	-	-	-	-	-	αὐλός	-	-	-	-	-	-	-	-	-	-	-	-
au̯os	-	-	-	-	-	-	-	-	hav	-	-	ewythr	-	awō	-	-	-	-	-	-	-	-	-	-	-	-	-
baxb	-	-	pippalaḥ	-	-	-	-	-	-	-	-	-	-	-	-	-	papula	-	pãpas	-	-	-	-	-	-	-	-
baba	-	-	bababākarōti	-	-	-	bebë	-	-	-	-	-	-	-	βαβαι̃	-	babit	bibināt	bóba	-	-	-	-	-	-	-	-
badi̯os	-	-	-	buide	-	-	-	-	-	-	-	-	-	-	-	-	badius	-	-	-	-	-	-	-	-	-	-
baitā	-	-	-	-	-	-	-	-	-	-	-	-	-	-	βαίτη	-	-	-	-	-	-	-	-	-	-	-	-
bak	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	baculum	-	-	-	-	pegel	-	-	-	-	-
bal	-	-	balbalīti	-	-	-	-	-	-	-	-	-	-	-	in	-	-	-	-	-	-	-	-	-	-	-	-
baxmb	-	-	-	-	-	-	bumbulit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
baxmb	fīfel	-	bimbaḥ	-	fīfl	-	-	-	-	-	-	-	-	-	πέμφιξ	-	-	bãmba	pampstù	-	-	-	-	-	-	-	-
band	-	-	bindúḥ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bata	-	-	bata	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bau	-	-	-	-	-	-	-	-	-	-	-	-	-	-	βαὺ	-	-	-	baũbti	-	-	-	-	-	-	-	-
bdel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	βδάλλω	-	-	-	-	-	-	-	-	-	-	-	-
bē	-	-	-	béiccithir	-	-	-	-	-	-	-	-	-	-	βη̃	-	-	-	-	-	-	-	-	-	-	-	-
bed	-	-	badvam	-	-	usw	-	-	port	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bel	-	-	-	-	-	-	-	-	pelem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bel	-	-	bálam	-	-	boljьjь	-	-	-	-	-	-	-	-	βελτίων	-	dēbilis	-	-	-	-	-	-	-	-	-	-
bend	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	benn	-	-	-	-	-	-
beu	-	-	-	-	-	-	-	-	bu	-	-	-	-	-	βοή	-	būtio	-	bùkčius	buc	-	-	-	búkatь	buk	-	-
beu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	βυ̃	-	-	-	-	-	-	-	-	-	-	-	-
bistli	-	-	-	-	-	-	-	-	-	-	-	bustl	-	-	-	-	bīlis	-	-	-	-	-	-	-	-	-	-
blat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	blaterō	-	-	-	-	-	-	-	-	-	-
blē	-	-	-	-	-	-	blegërás	-	-	-	-	-	-	-	βληχάομαι	-	-	-	-	-	-	-	-	usw	-	-	-
bol	-	-	bálbajaḥ	-	-	-	-	-	boɫk	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
brangh	-	-	-	-	-	-	-	-	-	-	-	-	-	-	βράγχος	-	-	-	-	-	-	-	-	-	-	-	-
breuq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	βρου̃κος	-	-	-	-	-	-	-	-	-	-	-	-
bronk	-	-	-	-	-	-	-	-	-	-	-	-	-	anapraggan	-	-	-	-	-	-	-	-	-	-	-	-	-
bu	-	-	-	-	-	-	buzë	-	-	-	-	-	-	-	-	-	-	-	bučiúoti	-	bus	-	-	-	-	-	-
bhā	bōnian	-	bhā	bān	-	-	geg	-	banam	banut	bā	-	-	-	πεφήσεται	-	-	-	-	-	-	-	-	-	-	-	ἀργύφεος
bhā	bōian	-	allerdings	-	bōn	-	-	-	ban	-	bišazjāt̃	-	-	-	φημί	-	for	-	-	-	-	-	-	-	-	-	-
bhabhā	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	faba	-	-	-	-	-	-	-	-	-	-
bhā̆d	-	-	bhadráḥ	-	bati	-	-	-	-	-	-	-	-	bōta	-	-	-	-	-	-	-	-	-	-	-	-	-
bhag	-	-	bhakšati	-	-	-	-	-	-	-	-	-	-	-	φαγόνες	-	-	-	-	-	-	-	-	-	bogъ	-	-
bhag	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bhāgós	-	buohha	-	-	-	-	-	-	-	-	-	-	bāgos	-	φηγός	-	fāgus	-	-	-	-	-	-	-	-	-	-
bhāghús	-	-	bāhúḥ	-	-	-	-	-	-	-	bāzāuš	-	-	-	πη̃χυς	-	-	-	-	-	-	-	-	-	-	-	-
bhar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bharu	-	-	-	-	bǫrr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	borъ	-	-
bhardhā	-	bart	-	-	-	brada	-	-	-	-	-	-	-	-	-	-	barbātus	bā̀rda	-	-	-	-	-	-	-	-	-
bharekʷ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	φράσσω	-	farciō	-	-	-	barc	-	-	-	-	-	-
bhares	-	-	-	-	-	-	-	-	-	-	-	-	-	barizeins	-	-	farīna	-	-	-	-	-	-	-	barsina	-	-
bhasko	-	-	-	-	-	-	-	-	-	-	-	-	-	-	φάσκωλος	-	fascia	-	-	-	basc	-	-	-	-	-	-
bhāso	-	-	bhāsaḥ	-	-	-	-	-	-	-	-	-	-	-	hom	-	-	-	-	-	-	-	-	-	-	-	-
bhāt	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	fatuus	-	-	-	-	-	-	-	-	-	-
bhā̆u	-	-	-	bodar	beysta	-	-	-	-	-	-	-	-	-	-	-	fūstis	-	-	būsch	-	-	-	-	-	-	-
bhe	-	-	bahiḥ	-	-	bez	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bhē̆	-	-	-	-	-	usw	-	-	ba	-	bā	-	-	ba	-	-	-	-	bà	-	-	-	-	-	-	-	-
bhē	-	bāen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	dial	-	-	-	-
bhedh	-	-	-	-	bođ	bodǫ	-	-	-	-	-	-	bodīca	badi	-	píddai	fodiō	-	bedù	-	-	-	-	-	-	-	-
bhedh	-	-	bā́dhatē	-	-	-	bint	-	-	-	-	-	-	bida	-	-	-	-	bodùs	-	-	-	-	-	-	-	-
bheg	-	-	bhanákti	bongid	-	-	-	-	bekanem	-	-	-	-	-	-	-	-	buoga	bangà	-	-	-	-	-	-	-	air
bhēgh	-	bāgan	-	-	-	-	-	-	-	-	-	bai	bāgaudae	-	-	-	-	buôztiês	-	-	-	-	-	bazel	-	-	-
bhegʷ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	φέβομαι	-	-	-	bė́gu	-	-	-	-	-	běgǫ	-	-
bhei	-	-	-	-	bӯfluga	bъčela	-	-	-	-	-	bydaf	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bheid	bitela	-	bhinádmi	-	beit	-	-	-	-	-	-	-	-	beist	φείδομαι	-	findō	-	-	-	-	beitel	-	-	-	-	-
bheidh	-	-	-	-	-	-	bē	-	-	-	-	-	-	beidan	πείθομαι	-	fīdō	-	-	-	-	-	-	-	-	combifiatu	-
bheiǝ	bile	billa	-	binit	bīldr	ubojь	-	-	bir	-	byente	-	-	-	φῑτρός	-	perfinēs	-	-	-	-	-	-	-	-	-	-
bheigʷ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	φοι̃βος	-	-	-	-	-	-	-	-	-	-	-	-
bhel	-	-	bhālam	-	-	dehnstuf	balë	-	bal	-	-	-	belsa	bala	φελλός	-	fulica	dehnstuf	bálnas	-	-	-	-	-	bolna	-	-
bhel	beolone	bilisa	-	-	-	-	-	-	-	-	-	-	illyr	-	-	-	-	-	-	-	-	-	-	-	belena	-	-
bhel	-	-	bhāṇḍa	-	-	-	-	-	-	-	-	dyrnfol	-	-	-	-	-	-	-	bullich	-	-	-	-	-	-	die
bhel	-	blat	-	bile	-	-	-	-	-	-	-	-	-	blōþ	φύλλον	-	flōs	-	-	-	bileóc	-	-	-	-	-	-
bhel	-	blohh	bhuríjāu	-	balkr	-	-	-	-	-	-	-	balākon	-	-	-	-	-	-	-	-	-	-	mdartl	-	-	-
bhel	-	bullōn	bhaṣáḥ	-	bjalla	-	-	-	-	-	-	-	-	-	-	-	-	bil̨̃l̨ât	bal̃sas	-	-	-	-	-	-	-	-
bhelāg	-	-	-	-	-	-	-	-	-	-	-	-	-	-	φελγύνει	-	-	-	-	-	-	-	-	-	-	-	-
bheld	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	bel̂zt	beldù	-	-	-	mdartl	-	-	-	-
bheleu	-	-	-	-	-	-	-	-	-	-	-	-	-	bliggwan	-	-	-	-	-	-	-	-	-	-	-	-	-
bhelĝh	-	-	barhiṣ	-	bolstr	-	-	-	-	-	-	bol	-	balgs	-	-	-	-	-	-	-	-	-	bólozenь	-	-	-
bhen	bana	-	-	-	bani	-	-	-	-	-	bąnayǝn	bonclust	-	banja	-	-	-	-	-	bane	epit	-	-	-	-	-	-
bhend	-	-	bhandatē	mir	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bhendh	-	-	bándhuḥ	-	-	-	besë	-	-	-	-	-	benna	ags	-	-	offendimentum	-	beñdras	-	buinne	-	-	-	-	-	in
bhenĝh	-	-	bahú	-	bingr	-	-	-	-	-	bązah	-	-	-	παχύς	paanku	pinguis	bìezs	-	-	-	-	-	-	-	-	-
bher	-	-	bhāráḥ	-	-	-	-	-	berem	-	-	-	-	-	φέρμα	-	fūr	-	-	-	-	-	-	-	-	-	-
bher	-	-	bhuráti	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
