root	chechen	ingush	batsbi
doχḳV 	döχka	ṭeχkar	duχḳã
dōle	dȫla	dol	-
duħer	düħar	duħaraš	-
duḳa	duga 	duga	-
duqa	duqa	duqa	duq
duq̇	duq̇	-	-
duq̇	duq̇	duq̇	duq̇
duq̇V	duq̇ū	-	-
dVHVχḳ	-	dijχk	-
ēŁ	lēl	lel	lel
far 	-	farast	-
foʔ	hoʔa 	fuʔ 	oʔ
ford 	hord	ford	-
fow 	hō	fo	-
fu	hun	fu	wuχ
futter	hüttarē	futtare	-
fuw	hu	fu	huv
gag	ga 	ga 	gag
gagan	-	-	gagã
gagu 	gōla	go	gawgŭ
gagV	gaj	gijg	gagaʔŏ
gala	gala 	-	gal
garge	gerga	garga	garg
garu	gora	gor	-
garʒa 	garza	garza	-
gāni	gēna	gäna	-
gāra	gāra	gar	-
gāʒa	gāza	gaza	gazã
gāʒV 	-	gɔz	-
gec̣iḳ 	gezg	gizg	-
gerc̣ 	gerz	gerz	gerc̣
gērde 	girda	gerd	-
gile	gila	gila	-
giliḳ 	gilg 	-	-
giṗe 	giba	giba	-
go	e	 	go
gorVmV 	gurma	-	-
gōga	gō	gō	gogŏ
gōtan	gōta	gota	-
gōte 	gȫta	-	-
gu 	g	g	gu
gub 	gū 	guw 	gub
gudura	gūra 	guwra 	gudur
guguṭṭ	-	-	guguṭṭ
gul	gul	-	-
gVg	-	gi	-
ʁ	-	ʁ 	ʁ
ʁa	ʁa	ʁa	-
ʁa 	ʁaš 	ʁa 	ʁa
ʁabʁV 	ʁowʁa	-	-
ʁaʁa	ʁaʁa	ʁaʁ	-
ʁala	ʁala	ʁala	-
ʁammaʁa	ʁammaʁa 	ʁamaʁa 	-
ʁant 	ʁant 	ʁand 	-
ʁara	ʁara	ʁar	-
ʁarʁa 	ʁarʁa	-	-
ʁarʁV 	-	ʁarʁa	-
ʁarVʁurV 	ʁarʁuli	ʁaraʁura	-
ʁaṭ	ʁad	ʁad	-
ʁāma	ʁāma 	ʁama 	-
ʁānV	-	ʁän	-
ʁāri	ʁēra	ʁär	ʁajrĭ
ʁārt	ʁart	-	-
ʁerʁ 	ʁerʁ	-	-
ʁo	ʁo	ʁo	-
ʁo	ʁo	ʁo	-
ʁoč̣	ʁaž	ʁaž 	ʁoč̣
ʁola 	-	-	ʁola
ʁorʁ	ʁorʁ 	ʁorʁa 	-
ʁōʁ	ʁoʁ	ʁoʁ	-
ʁōluḳ	ʁulg	ʁolg	-
ʁōn	ʁēnig	ʁong	-
ʁōr	ʁōrō 	-	ʁor
ʁōru	ʁūra	-	-
ʁuʁ	ʁuʁ	-	-
ʁunṭV 	ʁundalʁi	-	-
ha	hara	ja	eh
hinca 	hinca	hanz	inc
hoʔ 	hoʔ	-	-
hoc̣ 	hoz	-	-
host 	host	fost	-
huma 	huma	-	-
hup	hup āla	-	-
huttut	huttut	-	-
ħ	ħ	-	ħ
ħabs	ħows	-	ħaps
ħabχV	ħäwχē	ħowχe	-
ħadV 	ħē	ħɔ	ħad
ħaḳ́	ħaž	ħaža	ħaḳ
ħalχa 	ħalχa	ħalχa	ħatχ
ħamc 	ħamc	ħamisk	-
ħanḳ́al 	-	-	ħanḳal
ħaq	ħaq 	ħaq 	-
ħaq 	ħaq 	ħaq 	ħaq
ħaqa	ħaqa	ħaqa	qa
ħaqV	ħaqolg	ħaqing	-
ħarVmV	ħarmik	ħandar	-
ħaš 	ħaš	-	-
ħaχ	ħaχ	ħaχ	-
ħā	ħa	ħa 	ħa
ħāc̣u	ħōza 	ħazilg 	ħac̣uḳ
ħālij	ħēlī	ħälij	-
ħāni	ħēna	ħäna	-
ħāqum 	ħōqam	-	-
ħārsin	ħärsa	-	-
ħāso	ħāsa	ħɔsa	ħas
ħāst 	ħast	ħast	-
ħāstVm	ħostam	ħastam	-
ħāša	ħāša	ħaša	ħaš
ħāṭq̇a	ħaṭq̇a	-	ħajṭq̇ĭ
ħāχ	ħeχ	ħaʁ	ħaχ
ħerV	ħar	-	ħer
ħett 	ħätt	ħett	-
ħett 	ħätt	ħett	-
ħeṭṭ 	ħätt	-	ħeṭṭ
ħew 	ħē	ħe	ħew
ħēqur	ħȫqurg	-	-
ħēχ	ħēχ	ħeχ	-
ħēχ	ħeχ	ħeχ	-
ħēχ	ħeχ	ħaχar 	ħeχ
ħiḳ́ 	-	-	ħiḳ
ħ	ħ 	-	ħ
ħō	ħo	ħo	ħo
ħub 	ħū	ħuw	-
ħun	ħun	ħu	ħũ
ħunḳ 	ħünḳ	-	-
ɦārcu	orca 	ɔrc 	ʕarcŏ
ɦāχḳ́i	ēčig	äšk	ʕajhḳĭ
ɦēw	ē	e	ʕev
iʔ	qiʔ	qe	-
iʔ	qiʔ	qe	-
i	a	a	i
(i)n	n 	 	ĩ
ino	na	-	ino
iš	īš 	-	iš
it	-	-	it
j	j 	j 	j
j	j	j	i
jalata 	jalta	jalat	-
jalχ 	jalχ	jalχ	jetχ
jāč	jāč 	jač 	jač
jāqin 	jēqa	-	-
jeχḳ	jeχk	jaχk	jeχḳ
jētt	jett	jett	jett
jolk	jökaš	lok	-
jic̣ 	jiz	-	-
jilʁV	jilʁa	-	-
jīs	jis	jis	-
jīš	jiš 	jiš 	iš
jīš	jiš	jiš	-
jobq̇	juq̇	joq̇	joṗq̇
jobsṭ 	-	jost 	jobsṭ
jōħ	jöħ	-	ajħi
jōl	jol	jol	jol
jōšV 	jōša	-	-
juq̇	juq̇	juq̇	juq̇
jVrʎ	jaraš	jɔrh	-
ka	ka	-	-
kaḳ	kegī 	kegij 	kaḳẽ
kamiʒ	kems	koms	kaniz
kamur 	komar 	komar 	kumel
kars 	kars 	kars 	karsã
kart	kert	kart	-
kaš	kaš	kaš	-
katir 	ketar 	ketar 	katib
ḱaṭo	čada 	koda 	kaṭŏ
kaw	kow	kow	-
kā	ka 	ka 	komõ
kābst 	kowst	kɔst	-
kāčal	kāčal	-	-
kādu 	ko	-	-
kān	kan	ka	-
kāṭ	kad	kad	-
kek	-	-	kekaddar
ken	keŋ 	ken	-
kēḳ	kēgō	kegade	keḳdar
kēre	kīra	ker	-
kēs	kes	kes	-
kit	kit	kit	kit
ko	küg	kulg	ko
kondVr 	kondar 	kondar 	kondar
ko	ko	-	-
kōč	koč	koč	-
kōčVr 	kōčar	-	-
kōč̣ 	kož	kož	-
kōč̣eliḳ 	kȫžalg	kožolg	-
kōḳ	kog	kog	koḳ
kōr	kor	kor	kor
kōri	kǖra	ker	kujr
kōrta	korta	korta	kortŏ
kōtam	kōtam	kotam	kotam
kudVrV 	kǖra	kuwra	-
kur	kur 	kur 	-
kur	kur	-	-
kurs 	kurs	kurs	-
kurʒi 	kürza	-	-
kust 	-	kust	-
ḳač 	-	-	ḳač
ḳaj 	ḳaj	ḳaj	-
ḳal	ḳel	ḳal	ḳiḳel
ḳanat	ḳant	ḳant	ḳnat
ḳaṗ	-	-	ḳaṗraš
ḳaru	ḳora	ḳor	ḳor
ḳatVr 	-	ḳotar	-
ḳ́ăṭu	č̣oda 	ḳod 	q̇ajṭŭ
ḳaw	ḳa	ḳa	ḳaw
ḳāc̣e	ḳēza	ḳaza	ḳac̣
ḳāḳi 	ḳēga	-	-
ḳāmsur	ḳomsar	ḳomsar	-
ḳāṭi	ḳēda 	ḳäd 	-
ḳāṭin	ḳēda	ḳäda	ḳaṭẽ
ḳ́ebu 	č̣ȫ	ḳe	-
ḳēč̣	ḳāžar 	ḳež 	ḳeč̣
ḳɦōḳ	ḳag	ḳɔg	ḳʕoḳ
ḳiḳ	ḳig  	ḳig 	ḳiḳ
ḳiḳel	-	-	ḳiḳel
ḳoc̣ol 	-	-	ḳoc̣ol
ḳoncV 	ḳoncerg	-	-
ḳornV	ḳorni	ḳorig	-
ḳorṭ	ḳordō	ḳordade	ḳorṭ
ḳōṭi	-	-	ḳujṭĭ
ḳuč̣	ḳuž 	ḳuž 	ḳuč̣
ḳunc̣ul 	ḳunzal	-	-
ḳur	ḳur	ḳur	ḳur
ḳurḳḳ 	ḳurḳmani	-	-
ḳurVm	ḳuram	-	-
ḳuṭal	ḳudal	ḳudal	ḳuṭal
ḳVj	ḳajn	ḳaj	ḳujĩ
ḳVwV 	-	ḳo	-
l	l	-	l
l	-	-	l
la	lerg	lerg	larḳ
la	l 	l 	-
la	-	-	la
laʔ	laʔ	l	laʔ
laʔ 	-	-	laʔ
labc̣	lowz	-	-
lac̣	laz	laz	lac̣
laħ	laħō 	loħae 	laħ
laħi	läħa	leħa	laħ
laḳ	lag 	lak 	-
laḳ	lag	-	-
lamo	lama	lomma	lamŏ
laṗa	laba	laba	-
laqen	leqa	laqa	laqẽ
lar	lar	ler	-
lariḳ	-	lerg	-
larṭ 	lard	lard	-
law	lo	lo	law
law	lō	lɔ	law
laχun	loχa	loχa	laχũ
lāl 	lāl	lal	-
lām	lam	lɔm	lam
lāmVj	lāmi	lɔmi	-
lārV	lāra	-	-
lātte	latta 	lätta 	latt
lāʒi 	lēza	läza	-
lč	-	-	lč
lēbč 	līča 	luwč 	lepč
lēlχ	lelχ	-	letχ
lēp	lēpa	lepa	lepar
lēṭ	lēd	-	-
lēw 	lē	le	lev
lēq̇	leq̇	leq̇	-
lōṭ 	lod	-	-
list 	list	list	-
liṭṭ	litt	litt	liṭṭ
lo	lol 	lo 	-
lo	laħ	-	l
lo 	-	lo	-
lōlu	lūlaχō	lɔlaχo	-
lujsṭ	lüst 	lista 	jupsṭĩ
lujsṭin	lüsta	lista	jupsṭĩ
lurin	lüra	lira	-
lV	lēdan	-	-
lVwV	lū	lijg	-
lχana	selχana	selχan	-
m	m	-	-
mʕēlq̇u	mölq̇a	melʕa	-
mʕuṭe	moda 	mʕad 	mujṭĭ
mʡačiḳ	mʕäčig	-	-
mʡāra	mʕāra	mʕara	mʕajrĭ
mʡic̣ 	-	mʕizarg	-
ma	ma	ma	ma
maʔ	maʔ	miʔing	-
maʡa	-	maʕa	-
maʡar	maʕar 	mʕara 	-
macin	meca	meca	macĩ
mac̣e	meza	maza	mac̣
mac̣rin	merza	merza	mac̣rĩ
mac̣ru	morza	morz	mac̣rŏ
mač̣	maž 	mož  	mač̣
maʁu	moʁa 	muʁ 	-
măʁVlṭ	merʁad	maʁaldi	-
maʎ	mala	mala	maʎar
marc	marc	marc	marc
marʎo	mara	meraž	marʎŏ
marq̇V	-	marq̇ilg	-
marš 	marš	-	-
marš 	marš	-	-
marχo	marχa	morχ	-
masor	masar 	mosar 	masor
maša	maša	maša	-
măχa 	maχa	-	-
maχu	moχa	-	-
maʒu	moza	moza	-
māčVj	māča 	mäči 	-
māč̣u 	mōža 	mɔža 	-
māč̣V 	mēžē	mäže	-
māli	mēla	mäl	-
mālχ	malχ	malχ	matχ
māmaḳ	māmag	-	-
mār	mar	mar	mar
mārs	mars	mars	-
māssan	māsa	massa	-
māša	māša	maša	māšĕ
māšu	mōša	mɔš	-
māχ	maχ	maχ	maχ
mci	-	-	mci
merc̣ 	merz	merz	-
mēʔ	meʔ	-	-
mHāquc̣	mōqaz	mɔqaz	maqac̣
mɦaʔo	maʕa	muʕa	mʕaʔŏ
mɦali	mela	mela	malĩ
marʁV	marʁal 	merʁa 	-
marš	marš	meraž	-
mɦāqqVl	maqqal	-	-
māq̇V 	mēq̇alg	-	-
mēχV 	mēχa	-	-
mil	milla 	-	mildar
mŏħ	moħ	muħ	-
moχ	moχ	muχ	moχ
mōq	mēqa	muq	-
muc̣ar	muc̣ar	muc̣ar	-
muš	muš	muš	-
muš	muš	muš	-
muǯ	müžg	-	-
min	mindäʕaχk	-	-
mobχVr 	-	mowχar	-
moħ	moħ	muħ	-
moħ	moħ	muħ	muħ
moq	meqa 	maqa 	moq
moq 	-	-	moq
mor 	mürg	-	-
morʎ	mor 	morh 	morʎbar
mos	mas	mos	-
mott	mott 	mott 	mott
moṭṭ	mott	mott	moṭṭ
moχḳ	moχk 	moχk 	moχḳ
mōlχa	molχa	molχa	-
muʔVl 	-	muʔal	-
muʁ 	mulʁa 	mulʁa 	muʁ
muq̇	muq̇	muq̇	muq̇
murq̇a	-	-	murq̇a
musṭin	müsta	mista	musṭĩ
mutta 	mutta	-	-
mūq	muq 	muq 	majqĭ
mV	mila	mala	mẽ
mVχV	maχ 	miχa 	-
n	n	a 	Ṽ
nʡana	nʕäna	nʕana	nʕan
naci	neca	neca	-
nač̣	naž	naž	-
nalχo	nalχa	nalχa	-
naqV 	-	-	naq
naṭq̇u	noṭq̇a	nod	noṭq̇
nāki	nēka	näk	-
nāna	nāna	nana	nan
nāqa	nāqa	naqa	-
nārs	närs	nars	-
nāχ	naχ	naχ	naχ
neħ	neʕ	niħ	niħ
nēcV 	nēca	-	-
nēlχin	nilχa	nīlχa	netχĩ
naʁVr	neʁar 	noʁar 	-
nɦāṗ	nab	nab	nʕaṗ
nɦeʔ	neʕ	niʕ	nʕajʔsã
niṭṭ 	nitt	nitt	niṭṭ
nōsta 	nosta	nost	-
nibsi	nīsa	nijsa	nipsin
nic̣q̇ 	nic̣q̇	niz	nic̣q̇
niq	niq	niq	-
niχa	niχa	niχ	-
nīq̇	neq̇	niq̇	niq̇
nobc	nuc 	najc 	-
nošV 	nošdala 	moša 	-
nŏχ	noχ	nuχ	-
nugV 	nuj	nuv	-
nus	nus	nus	nus
nV	na	ā	n
nVš	naš	-	-
ʕābχV	owχa	ʕajχa	apχẽ
ʕāχ	ēχa	ʕäχa	aχχẽ
a	an	e	ar
aʔ 	ān	an	aʔar
abc̣	ovz 	ovz 	abc̣
ač̣ 	-	-	ač̣
aħ	aħ	aħ	aħ
aħ	aħō	oħabe	-
aḳ	ag	-	-
aḳ 	ag	ag	-
aʎ	al	al	aʎ
aŁ	al	al	alar
aq	aq	aq	aq
aqqun	oqqa	oqqa	aqqõ
aq̇	eq̇a	eq̇a	aq̇ĩ
aq̇	aʔ	aʔ	aq̇
aq̇ina	eq̇ana	-	-
arc̣	erzina	erzana	arc̣inŏ
arsṭ	arst	arst	arsṭ
at	at	at	lat
att	att	att	att
ăṭ	ad	ad	aṭ
aṭ 	-	-	aṭ
aw 	ā 	a 	aw
awin 	ajn 	aj 	awĩ
aχ	aχ	aχ	iχ
āc	āc 	ac 	ac
ācun	ōca	lɔca	acũ
āḳ	āg	ɔg	aḳdar
āʎ 	āl	al	aʎ
āq 	aqq	aqq	aq
āss	ässa	ässa	asẽ
āsṭ	ast	ast	asṭ
āš	āš	aš	aš
āṭṭ	āṭ	aṭṭ	aṭ
āχ	āχ	aχ	āχ
āǯ	āž	až	až
ell 	ell	ell	-
erc̣	erz	-	erc̣
ēbc	īc	uwc	epc
ēḳ	lēg	-	eḳ
ēḳ	ēg	eg	eḳdar
ēl	ēl	el	el
ēlχ	ēlχ 	elχ 	etχ
ēq̇	ēq̇	eq̇	eq̇
ēš	ēš 	eš 	eš
ētt	ētt	ett	ett
ēṭun	ȫda	eda	-
ēχ	ēχ	eχ	eχ
ɦiwʔ	iʔ	iʔ	ʕiwʔ
iḳ	ig	ig	iḳ
il	il	il	ildar
ill	ʕill 	all 	ill
is	is	is	is
ist	ist	ist	bist
it	it	it	it
itt	itt	itt	itt
oss	oss	oss	oss
ōbc	ūc 	uc 	opc
ōbʎ 	ūl	uwl	-
ōc̣	ōz 	uwz 	oc̣
ōʁ 	ōʁ	oʁ 	oʁ
ōtt	ott	ott	ott
ōχ 	ōχ	oχ	oχ
ōž	ōž	ož	ož
u 	u	a	a
uc̣i	üzna	iza	uc̣inŏ
uħ	jüħ 	juħ 	juħ
uq̇	uq̇	iq̇	uq̇
uq̇in	üq̇a	iq̇a	uq̇ĩ
usṭ 	ust	ist	usṭ
uχ	uχ	uχ	uχ
pott 	pott	-	-
parlu 	polla	-	-
patVr	patar	petar	-
paχ	paχ	peχk	-
peṭ	-	ped	-
pēlaḳ	pēlag	-	-
pħa	pħa	pħa	-
pħač̣ 	pħaž	pħaž	-
pħars 	pħars	pħars	pħars
pħatV 	-	-	pħajtĭ
pħāʁat	pħāʁat	pħaʁat	-
pħāʁi	pħēʁa	-	-
pħāḳal	pħāgal	pħagal	pχaḳal
pħē	pħa	-	pħe
pħēṭa	pħēda	-	-
pħiṭ	pħid	pħid	-
pħiṭ	pħid	pħid	pħiṭ
pħō	pħoš	pħoš	pħo
pħu	pħu 	pħu 	pħu
pisV	pisū	-	-
pop	pop	pop	-
poppVr	poppar 	toppar 	-
psa 	-	-	psa
psarV	süjrē 	sajra	psara
sāl	sal	-	-
sārV	sāra	särg	-
psiḳ	sagal	sagal	psiḳ
psṭu	stu	ust	psṭu
psṭuw	stū 	suw 	psṭu
šal	šalmaz	-	-
pšā	ša 	ša 	pša
puš	-	-	puš
pχā	pχa	pχa	pχa
pχā	pχa	pχän	-
pχi	pχiʔ	pχiʔ	pχi
pχo 	-	pχo	-
ṗaj 	oba 	-	ṗaj
qadela	qēla	qal	qadal
qaħ	-	-	qaħar
qaħ	qaħ	-	-
qaqan	qaqa 	qaqa 	qaqã
qaqu	qoqa	qoq	qawqŭ
qarc̣	qarz	qarz	qarc̣
qarta	qarta	qarta	-
qaw	qa	qa	qaw
qāč	qāč	qač	qač
qāṗa	qāba	qaba	-
qāqu	qōqa	-	-
qeṭ 	-	-	qeṭ
qēc̣ 	qīzig	-	-
qēl	qel 	qel 	qel
qēra	qēra	qera	qer
qērʎ	qēr	qer	qerʎ
qēs	qes	qes	-
qēt	qēt	qet	-
